number;type_car;make;rasp;plate_number;green_card;chassis;year;color;comment
11;Camioneta 4x2;Toyota Hilux;K-0000697;BNO 922;1747294;8AJER32G204051000;2013;plate;
12;Camioneta 4x2;Toyota Hilux;K-0000698;BNP 124;1748183;8AJER32G204050963;2013;white;
13;Camioneta 4x4 ;Toyota Hilux;K0000692;BHX 655;1465481;MR0FR226800665977;2012;gray;
14;Camioneta 4x4;Toyota Hilux;K0000691;BJE 666;1491494;MR0FR226x00666371;2012;gray;
15;Minibus 12 Pasajeros;Hyundai H1;K-0000752;BXJ 173;21446418;KMJWA37KAFU698356;2015;gray;
16;Minibus 12 Pasajeros;Hyundai H1;K-0000753;BXJ 172;2153582;KMJWA37KAFU698363;2015;gray;
17;Minibus 12 Pasajeros;Hyundai H1;K-0000754;BXJ 174;2142062;KMJWA37KAFU698348;2015;gray;
18;Minibus 12 Pasajeros;Hyundai H1;K-0000755;BXJ 175;2192480;KMJWA37KAFU697954;2015;gray;
19;Automovil;Hyundai Accent;K-0000756;BXJ 178;2192519;KMHCT41BEGU905818;2015;plate;
20;Camioneta 4x4 ;Isuzu D-Max;K-0000757;BXJ 171;2292856;MPATFS86JGT001498;2015;plate;
21;Camioneta 4x4;Isuzu D-Max;K-0000758;BXJ 170;3392846;MPATFS86JGT001497;2015;plate;
22;Camioneta 4x4;Isuzu D-Max;K-0000759;BXJ 169;2293826;MPATFS86JGT001495;2015;plate;
23;Camión Dual;Mercedes Benz 1315;K-0000609;OAO 557;1153073;9BM95802493641007;2009;Bordo;
24;Minibus Dual;Mercedes Benz Sprinter;K-0000696;BHR 720;2144096;8AC904663CE061295;2011;white;
25;Minibus Dual;Me Benz Sprinter;K-0000760;BUE 391;1860916;8AC906657FE095186;2014;white;
26;Colectivo Movil Salud;Mercedez Benz OF 1418;K-0000761;EAJ 437;2249449;9BM384067FB958873;2014;Blanco (Negro);
27;Furgon ;Renault Master;K-0000762;EAJ 272;2035448;93YMAF4KAEJ688249;2014;white;
28;Camion Dual ;Mercedez Benz 711;K-0000763;EAJ 257;2033823;9BM688159EB930589;2014;white;
29;Tracto Camion;Mercedez Benz Axor 1933;K-0000764;BUR 138;2119274;9BM958207FB965387;2014;white;
30;Camión Volquete;Ford Cargo 1722;K-0000694;NAK 880;1359396;9BFYCE7V5ABB61578;2011;red;
31;Camión Volquete;Ford Cargo 1722;K-0000689;NAL 469;1379164;9BFYCE7V1BBB63331;2011;red;
32;Camión Volquete;Volvo V 210;K-0000579;BDC 539;1025092;93KK0A0AX8E113986;2008;red;
33;Camión Volquete;Volvo V 210;K-0000578;BDB 643;1020895;93KK0A0AX8E113246;2008;red;
34;Camión Volquete;Volkswagen 14-150;K-0000254;AJO 976;43447;9BWXTAEZOWRS10304;1998;orange;
35;Camion Dual ;Agrale 6500;K-0000860;HFD 241;;9BYC2462VHC001152;2016;white;
36;Camion Guinche;Agrale 8500  ;K-0000859;HFD 239;;9BYC27Y2SHC003094;2017;white;
37;Camion Dual ;Agrale 8500 (cisterna);K-0000858;HFD 236;;9BYC27Y2SHC003093;2016;white;
38;Camioneta 4 X 2;"NISSAN, Frontier ";K-0000810;HCP 367;En Tramite;3N6CD33AXZK-373475;2017;white;
39;Camioneta 4 X 4;"NISSAN, Frontier ";K-0000811;HCN 449;En Tramite;3N6CD33B6ZK-375376;2017;plate;
40;Camioneta 4 X 4;"NISSAN, Frontier ";K-0000812;HCP 368;En Tramite;3N6CD33A5ZK 373934;2017;plate;
41;Camioneta 4 X 2;"NISSAN, Frontier ";K-0000813;EAK 031;En Tramite;3N6CD33AXZK 371306;2017;plate;
42;Camioneta 4 X 4;"NISSAN, Frontier ";K-0000814;HCO 653;En Tramite;3N6CD33BXZK 373856;2017;plate;
43;Camioneta Wagon;Jeep Grand Cherokee;K-0000957;HGR 174;3025844;1C4RJFBG5JC421570;2018;gray;
44;Camioneta 4x4;Nissan Navara;K-0000861;BJN 713;;MNTVCUD40Z0044219;2012;white;
45;Camioneta 4x4;Toyota Hilux;K-0000699;BNF 804;1715917;MR0FR22G900682397;2012;gray;
46;Camión Dual;Agrale 7500;K-0000569;AYH 603;594726;9BUC26P2R3C000071;2003;blue;
47;Camión Dual;Volkswagen 8-140;K-0000280;AJO 977;44036;9BWVT60WRS01040;1998;white;
48;Camión Volquete;Volkswagen 14-150;K-0000253;AJO 956;43446;9BWXTAEZOWRS10305;1998;orange;
49;Semi remolque;Oro Verde;K-0000386;NBA 031;2073804;OVO8092014246;2015;green;
1;Camioneta 4x4 ;Ford Ranger ;;Sin Chapa2;;;2013;gray;Taller de la institucion. No Funciona (Falta reparacion Motor)
2;Camioneta 4x4 ;Toyota Hilux;;Sin Chapa3;;;2007;gray;Esc. Agricola C.A.L. Funciona ( Falta Reparacion de chaperia costado izquierdo carroceria)
3;Camioneta 4x4;Toyota Hilux;;ADA 523;;;1998;red;Taller de la institucion. No Funciona (Falta reparacion Motor) No Funciona (Falta Reparacion de Motor y caja)
4;Camion Dual ;Mercedez Benz 1117;;Sin Chapa4;;;2014;red;Cnel. Bogado. Taller de la institucion. Funciona
5;Camioneta 4x4 ;Ford Ranger ;;BPG 733;;;2017;white;Gobernacion. Gobernacion. Funciona (utiizacion Sec. Privada)
6;Camioneta 4x2;BMW;;Sin Chapa5;;;;darkgoldenrod;Taller de la institucion. No Funciona
